CLASE;Denominación;;;
3;Boleta de Venta;;;EC
5;Boleto Cía. Aviación;;;EG
6;Carta de porte aéreo;;;EP
10;Recibo Arrendamiento;;;KF
12;Ticket máq.registrad;;;KG
13;Doc.Bco.ó Ent.Fciera;;;KY
14;Recibo Serv.Públicos;;;RC
16;Boleto de viaje;;;RG
18;Doc. emitido por AFP;;;RY
21;Conoc. de Embarque;;;
30;Emit.Emp.Tarj.Credit;;;
50;Póliza de importac.;;;
54;Liquidac.de Cobranza;;;
98;No Domic.N/Débito;;;
AA;Contab. Activo Fijo;;;
AB;Compensa Cta Mayor;;;
AF;Amortizacion A Fijo;;;
AN;Contabiliz.AF neto;;;
AP;NC Dev Clientes APla;;;
CA;Caja-Dif.Caja;;;
CH;Liquidac.contract.;;;
CI;Carga Inicial Prov.;;;
CJ;Caja-Recaudación;;;
CO;Controling;;;
D1;Doc Protestados;;;
D2;Dep.Cheque Cartera;;;
D3;Compensación Cltes.;;;
D4;Gtias Cltes. Respons;;;
D5;Castigos Clientes;;;
D6;Doc Judiciales;;;
D9;Devolución Clientes;;;
DA;Anticipo de Clientes;;;
DF;Doctos. Financieros;;;
DG;(No Utilizar);;;
DR;(No Utilizar);;;
DT;Doctos. Tributarios;;;
DZ;Pago de deudor;;;
EB;Boleta Electronica;;;
EC;NC Elect Finan Cltes;;;
ED;ND Elect Clientes;;;
EF;Fact. Elect Financi;;;
EG;NC Elect Devolución;;;
EN;Nota de Cargo Bo;;;
EP;NC Diferencia Precio;;;
ER;Fact. Elect Reptos.;;;
ET;Fact. Elect Taller;;;
EU;Fact. Elect Unidades;;;
EX;Voucher TBK;;;
FR;Fondos a Rendir;;;
IA;Compras intercompany;;;
IB;Pago de facturas;;;
IC;Ventas intercompany;;;
ID;Cobro de facturas;;;
IE;Préstamos Otorgados;;;
IF;Cobro de Préstamos;;;
IG;Prestamos recibidos;;;
IH;Pago de prestamos;;;
II;Intereses EE.RR.;;;
IJ;Re denominiación;;;
IK;Anulación doc EERR;;;
IL;Comis mandato cobrad;;;
IM;Comis mandato pagado;;;
KA;Anticipo Proveedor;;;
KB;Boleta de Honorarios;;;
KC;Nota de Credito Prov;;;
KD;Nota de Debito Prov;;;
KE;Factura Electr Prov.;;;
KF;N Credit Electr Prov;;;
KG;NC Proveedor (MIRO);;;
KH;N Debito Electr Prov;;;
KI;DI (Decla de Import);;;
KJ;Ajustes IVA;;;
KO;Otros Doc. Proveedor;;;
KP;Compensación Proveed;;;
KR;Fact. Proveedor Nac.;;;
KS;Pago Provee Servicio;;;
KV;Rebate-Gtia Prov Ext;;;
KX;Fact. Proveedor Extr;;;
KY;NC Proveedor Extranj;;;
KZ;Pago Provee Manual;;;
LO;Liquidación Orden CO;;;
LP;Contabilidad CO;;;
ML;Liquidación ML;;;
PD;Pago detracciones;;;
PR;Modif.precio;;;
RA;Abono liquid.post.;;;
RB;Boleta Venta y Serv.;;;
RC;NC Financ. Clientes;;;
RD;N Debito Clientes;;;
RE;Factura Prov (MIRO);;;
RF;Fact. Financ Cliente;;;
RG;NC Devoluc. Clientes;;;
RH;Contab. RRHH;;;
RJ;Factura Vta Unid. ZF;;;
RK;Factura Vta ExpExtra;;;
RL;N Aumento Vta ExpExt;;;
RM;N Diminución Vta Exp;;;
RN;Factura neto;;;
RP;Recaudación Portal;;;
RR;Factura Venta Reptos;;;
RT;Factura Venta Taller;;;
RU;Factura Vta Unidades;;;
RV;Reconocim. Ingreso;;;
RW;N Debito Exportación;;;
RX;Factura Exportación;;;
RY;N Credit Exportación;;;
RZ;Factura Vta Repto ZF;;;
SA;Revaloriz. Unidades;;;
SB;Contab. Cta. Mayor;;;
SD;Compra Divisas;;;
SI;Traspas Intercompany;;;
SM;Carga Inicial CMayor;;;
SU;Doc.cargo posterior;;;
SX;Traspaso Ledger Z1;;;
TN;;;;
UE;Transferencia datos;;;
VG;Vta.Título Gratuito;;;
WA;Salida Mercancías;;;
WE;Entrada Mercancías;;;
WI;Documento Inventario;;;
WL;Salida merc./entrega;;;
WN;Entrada mcías.neto;;;
WP;Garantía CR Derco;;;
WR;Garantía DB Derco;;;
WS;;;;
WV;Existencia VOR;;;
WW;Reversa Prov. WIP;;;
WY;Liquidación WIP;;;
WZ;Reversa WIP;;;
ZA;Ventas POS;;;
ZB;Compensa Cta Mayor;;;
ZC;Pago Credito APlanet;;;
ZE;Fact. compra Elec CL;;;
ZN;Nomina Colombia;;;
ZO;Fact. Reg. Simplific;;;
ZP;Pago Nominas Provee;;;
ZR;Conciliación banco;;;
ZS;Pago mediante cheque;;;
ZT;Contab. Transf.Marg.;;;
ZV;Compensación pagos;;;
KE;;;;
