Mar;Tipo de gasto;R3
Ahs Anadolu San  Otomotiv Mak;Gasto proveedor;
Almeks Dis Ticaret Ltd. Sti.;Gasto proveedor;
Amecs Internacional;Gasto proveedor;
American Hobbies And Merchandising;Gasto proveedor;40002647
Anhui Jianghuai Automobile Group Co;Gasto proveedor;40001373
Anhui Jianghuai Automobile Group Co;Gasto proveedor;40001373
Anhui Jianghuai Automobile Group Co;Gasto proveedor;40001373
Anycar Tech Int’L Co.,Limited;Gasto proveedor;
Arca Ind. Com. Imp. Exp. De;Gasto proveedor;
ASPLA- PLASTICOS ESPAÑOLES S.A.;Gasto proveedor;
Atlantic Pacific Automotive (Highline Aftermarket, LLC fka DYK A);Gasto proveedor;
Auto Accessories Asia Inc;Gasto proveedor;
Autocorporación Sercoa S.R.L (AutoKorp);Gasto proveedor;
BALAJI SPRINGS (P) LTD.;Gasto proveedor;
Baldan Implementos Agricolas S.A.;Gasto proveedor;
Balkrishna Industries Ltd.;Gasto proveedor;
Baoding Liteng Import&Export;Gasto proveedor;40001997
Baoding Liteng Import&Export;Gasto proveedor;40001997
Baoding Liteng Import&Export;Gasto proveedor;40001997
Baolong;Gasto proveedor;
Beijing xun an da trade;Gasto proveedor;40003770
Beijing xun an da trade;Gasto proveedor;40003770
Bianchi S.R.L.;Gasto proveedor;
Binacchi S.R.L.;Gasto proveedor;
BOR S.A;Gasto proveedor;
Bosch Aut. Serv. Solution, Sa De Cv;Gasto proveedor;40000144
BP CASTROL;Gasto proveedor;
CAMEL GROUP BATTERY TRADING CO., LT;Gasto proveedor;
Celsan Cellbor Tarim Aletleri;Gasto proveedor;
Centro De Repuestos S.A.C.I.;Gasto proveedor;
Centro De Repuestos S.A.C.I.;Gasto proveedor;
Ceramicas E Velas De Ignicao Ngk Do;Gasto proveedor;
Changan International Corporation;Gasto proveedor;40000199
Changan International Corporation;Gasto proveedor;40000199
Changan International Corporation;Gasto proveedor;40000199
Changzhou Dingfeng Auto Lamps Co.,LTD;Gasto proveedor;
CHANGZHOU SUNWOOD INTERNATIONAL TRADING CO., LTD.;Gasto proveedor;40003304
CHANGZHOU SUNWOOD INTERNATIONAL TRADING CO., LTD.;Gasto proveedor;40003304
CHANGZHOU SUNWOOD INTERNATIONAL TRADING CO., LTD.;Gasto proveedor;40003304
Chengdu Hi-Tech Industries;Gasto proveedor;
CHONGQING SHINDARY INDUSTRY & COMMERCE CO., LTD;Gasto proveedor;40003767
CHONGQING SHINDARY INDUSTRY & COMMERCE CO., LTD;Gasto proveedor;40003767
CLARIOS ANDINA SAS;Gasto proveedor;
Comercial Exp e Imp Amiga Ltda.;Gasto proveedor;
Cotesi- Companhia De Texteis Sintet;Gasto proveedor;
Custom Accesories Inc.;Gasto proveedor;
DANYANG HONGFENG PLASTICS CO.,LTD;Gasto proveedor;
DERCO COLOMBIA;Gasto proveedor;40000460
DERCO COLOMBIA;Gasto proveedor;40000460
DERCO COLOMBIA;Gasto proveedor;40000460
DERCO PERU S.A.;Gasto proveedor;PU02
DERCO PERU S.A.;Gasto proveedor;PU02
DERCO PERU S.A.;Gasto proveedor;PU02
Dongguan Su Tong Jie Plastic Hardwa;Gasto proveedor;
Dongying Xinyi Brake System Co., Lt;Gasto proveedor;
E.C.S Esportacione Componenti S.R.L;Gasto proveedor;
EATON LTDA.;Gasto proveedor;
EMMERRE S.R.L.;Gasto proveedor;
Eurozappa S.P.A.;Gasto proveedor;
EVV-MORAVIA S.R.O.;Gasto proveedor;
